dbname:muraro	round:8888	alpha:1	beta:1	acc: 0.66682 	ari: 0.55823 	nmi: 0.73091
dbname:muraro	round:8888	alpha:1	beta:0.1	acc: 0.66682 	ari: 0.55823 	nmi: 0.73091
dbname:muraro	round:8888	alpha:1	beta:0.01	acc: 0.66682 	ari: 0.55823 	nmi: 0.73091
dbname:muraro	round:8888	alpha:1	beta:0.001	acc: 0.66682 	ari: 0.55823 	nmi: 0.73091
dbname:muraro	round:8888	alpha:1	beta:0	acc: 0.66682 	ari: 0.55823 	nmi: 0.73091
dbname:muraro	round:9999	alpha:0	beta:1	acc: 0.63195 	ari: 0.45818 	nmi: 0.58403
dbname:muraro	round:9999	alpha:0.001	beta:1	acc: 0.63478 	ari: 0.48975 	nmi: 0.61354
dbname:muraro	round:9999	alpha:0.01	beta:1	acc: 0.72714 	ari: 0.58477 	nmi: 0.71482
dbname:muraro	round:9999	alpha:0.1	beta:1	acc: 0.76343 	ari: 0.64484 	nmi: 0.77335
dbname:muraro	round:9999	alpha:1	beta:1	acc: 0.76343 	ari: 0.64484 	nmi: 0.77335
dbname:muraro	round:9999	alpha:1	beta:0.1	acc: 0.76296 	ari: 0.64454 	nmi: 0.77328
dbname:muraro	round:9999	alpha:1	beta:0.01	acc: 0.76296 	ari: 0.64454 	nmi: 0.77328
dbname:muraro	round:9999	alpha:1	beta:0.001	acc: 0.76296 	ari: 0.64454 	nmi: 0.77328
dbname:muraro	round:9999	alpha:1	beta:0	acc: 0.76296 	ari: 0.64454 	nmi: 0.77328
dbname:muraro	round:9999	alpha:0	beta:1	acc: 0.63148 	ari: 0.459 	nmi: 0.58527
dbname:muraro	round:9999	alpha:0.001	beta:1	acc: 0.63572 	ari: 0.49173 	nmi: 0.61501
dbname:muraro	round:9999	alpha:0.01	beta:1	acc: 0.72714 	ari: 0.58477 	nmi: 0.71482
dbname:muraro	round:9999	alpha:0.1	beta:1	acc: 0.76343 	ari: 0.64484 	nmi: 0.77335
dbname:muraro	round:9999	alpha:1	beta:1	acc: 0.76343 	ari: 0.64484 	nmi: 0.77335
